INFO - fast_ddpm_main.py - 2024-12-08 10:03:41,944 - Using device: cuda
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Added key: store_based_barrier_key:1 to store for rank: 0
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Writing log file to exp/logs/Fast-DDPM_experiments
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp instance id = 12815
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp comment = 
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Initialized distributed training: rank 0/4
INFO - diffusion.py - 2024-12-08 10:12:02,677 - step: 179, loss: 1398.117431640625
INFO - diffusion.py - 2024-12-08 10:12:04,665 - step: 180, loss: 13041.490234375
INFO - diffusion.py - 2024-12-08 10:12:06,738 - step: 181, loss: 13679.7890625
INFO - diffusion.py - 2024-12-08 10:12:08,880 - step: 182, loss: 1266.636962890625
INFO - diffusion.py - 2024-12-08 10:12:11,085 - step: 183, loss: 13134.3369140625
INFO - diffusion.py - 2024-12-08 10:12:13,118 - step: 184, loss: 2339.203369140625
INFO - diffusion.py - 2024-12-08 10:12:15,110 - step: 185, loss: 25155.12890625
INFO - diffusion.py - 2024-12-08 10:12:17,269 - step: 186, loss: 1308.8497314453125
INFO - diffusion.py - 2024-12-08 10:12:19,316 - step: 187, loss: 1476.2872314453125
INFO - diffusion.py - 2024-12-08 10:12:21,397 - step: 188, loss: 13232.322265625
INFO - diffusion.py - 2024-12-08 10:12:23,514 - step: 189, loss: 24984.376953125
INFO - diffusion.py - 2024-12-08 10:12:25,670 - step: 190, loss: 13417.9921875
INFO - diffusion.py - 2024-12-08 10:12:27,842 - step: 191, loss: 1122.167236328125
INFO - diffusion.py - 2024-12-08 10:12:30,173 - step: 192, loss: 25635.7578125
INFO - diffusion.py - 2024-12-08 10:12:32,137 - step: 193, loss: 12854.177734375
INFO - diffusion.py - 2024-12-08 10:12:34,069 - step: 194, loss: 2002.7578125
INFO - diffusion.py - 2024-12-08 10:12:36,167 - step: 195, loss: 1243.193115234375
INFO - diffusion.py - 2024-12-08 10:12:38,289 - step: 196, loss: 971.4776611328125
INFO - diffusion.py - 2024-12-08 10:12:40,143 - step: 197, loss: 13098.6015625
INFO - diffusion.py - 2024-12-08 10:12:42,082 - step: 198, loss: 13214.9501953125
INFO - diffusion.py - 2024-12-08 10:12:44,110 - step: 199, loss: 1306.83447265625
INFO - diffusion.py - 2024-12-08 10:12:45,934 - step: 200, loss: 1238.722412109375
INFO - diffusion.py - 2024-12-08 10:12:48,198 - step: 201, loss: 13880.5166015625
INFO - diffusion.py - 2024-12-08 10:12:50,130 - step: 202, loss: 13188.892578125
INFO - diffusion.py - 2024-12-08 10:12:51,981 - step: 203, loss: 25376.3359375
INFO - diffusion.py - 2024-12-08 10:12:54,070 - step: 204, loss: 25123.275390625
INFO - diffusion.py - 2024-12-08 10:12:55,998 - step: 205, loss: 13766.546875
INFO - diffusion.py - 2024-12-08 10:12:58,129 - step: 206, loss: 13531.689453125
INFO - diffusion.py - 2024-12-08 10:13:00,097 - step: 207, loss: 25799.689453125
INFO - diffusion.py - 2024-12-08 10:13:01,929 - step: 208, loss: 1164.3148193359375
INFO - diffusion.py - 2024-12-08 10:13:03,846 - step: 209, loss: 919.6866455078125
INFO - diffusion.py - 2024-12-08 10:13:05,661 - step: 210, loss: 14145.5263671875
INFO - diffusion.py - 2024-12-08 10:13:07,733 - step: 211, loss: 1082.536376953125
INFO - diffusion.py - 2024-12-08 10:13:09,832 - step: 212, loss: 1062.3271484375
INFO - diffusion.py - 2024-12-08 10:13:11,634 - step: 213, loss: 13742.7353515625
INFO - diffusion.py - 2024-12-08 10:13:13,555 - step: 214, loss: 929.4176025390625
